Class Level	HD	BAB	Good Saves	Bad Save	Skills	Feats	Armor Bonus	Str/Dex Bonus	Evolution Pool	Max. Attacks	Special
1	1	1	2	0	4	1	0	0	3	3	Darkvision, link, share spells
2	2	2	3	0	8	1	2	1	4	3	Evasion
3	3	3	3	1	12	2	2	1	5	3	—
4	3	3	3	1	12	2	2	1	7	4	—
5	4	4	4	1	16	2	4	2	8	4	Ability score increase
6	5	5	4	1	20	3	4	2	9	4	Devotion
7	6	6	5	2	24	3	6	3	10	4	—
8	6	6	5	2	24	3	6	3	11	4	—
9	7	7	5	2	28	4	6	3	13	5	Multiattack
10	8	8	6	2	32	4	8	4	14	5	Ability score increase
11	9	9	6	3	36	5	8	4	15	5	—
12	9	9	6	3	36	5	10	5	16	5	—
13	10	10	7	3	40	5	10	5	17	5	—
14	11	11	7	3	44	6	10	5	19	6	Improved evasion
15	12	12	8	4	48	6	12	6	20	6	Ability score increase
16	12	12	8	4	48	6	12	6	21	6	—
17	13	13	8	4	52	7	14	7	22	6	—
18	14	14	9	4	56	7	14	7	23	6	—
19	15	15	9	5	60	8	14	7	25	7	—
20	15	15	9	5	60	8	16	8	26	7	—